trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
62,False,"{'a': 0.5, 'e': 0.5709085907273037}",25,9,-40.80466553587205,"{0: 9, 1: 2, 2: 5, 3: 0, 4: 0}",1
63,False,"{'a': 0.5, 'e': 0.5657704134107581}",35,0,-68.93500595082828,"{0: 29, 1: 1, 2: 3, 3: 0, 4: 2}",0
64,False,"{'a': 0.5, 'e': 0.5606784796900612}",25,10,-96.93425514892206,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 3}",1
65,False,"{'a': 0.5, 'e': 0.5556323733728507}",20,12,14.55512614088372,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
66,False,"{'a': 0.5, 'e': 0.550631682012495}",25,0,-76.15497589842612,"{0: 18, 1: 0, 2: 6, 3: 0, 4: 1}",0
67,False,"{'a': 0.5, 'e': 0.5456759968743825}",20,0,-4.148399660762696,"{0: 17, 1: 1, 2: 2, 3: 0, 4: 0}",0
68,False,"{'a': 0.5, 'e': 0.540764912902513}",25,2,-67.09103283747592,"{0: 17, 1: 1, 2: 3, 3: 1, 4: 1}",1
69,False,"{'a': 0.5, 'e': 0.5358980286863905}",30,14,-88.29621766236419,"{0: 11, 1: 1, 2: 2, 3: 0, 4: 2}",1
70,False,"{'a': 0.5, 'e': 0.531074946428213}",25,0,-122.57174286278493,"{0: 16, 1: 1, 2: 6, 3: 0, 4: 2}",0
71,False,"{'a': 0.5, 'e': 0.526295271910359}",30,0,-91.26564564677103,"{0: 24, 1: 1, 2: 2, 3: 1, 4: 2}",0
72,False,"{'a': 0.5, 'e': 0.5215586144631658}",25,12,-20.153799509567683,"{0: 10, 1: 0, 2: 2, 3: 1, 4: 0}",1
73,False,"{'a': 0.5, 'e': 0.5168645869329973}",20,15,-2.3605699501395927,"{0: 4, 1: 0, 2: 1, 3: 0, 4: 0}",1
74,False,"{'a': 0.5, 'e': 0.5122128056506003}",25,0,-93.33907621568616,"{0: 19, 1: 0, 2: 4, 3: 0, 4: 2}",0
75,False,"{'a': 0.5, 'e': 0.5076028903997449}",20,0,-7.500551841974859,"{0: 15, 1: 3, 2: 2, 3: 0, 4: 0}",1
76,False,"{'a': 0.5, 'e': 0.5030344643861472}",30,11,-143.45689900170666,"{0: 12, 1: 0, 2: 4, 3: 0, 4: 3}",1
77,False,"{'a': 0.5, 'e': 0.49850715420667185}",25,13,-35.06357311659742,"{0: 8, 1: 0, 2: 3, 3: 1, 4: 0}",1
78,False,"{'a': 0.5, 'e': 0.4940205898188118}",30,0,-37.5590768665279,"{0: 24, 1: 2, 2: 2, 3: 2, 4: 0}",0
79,False,"{'a': 0.5, 'e': 0.4895744045104425}",20,0,-14.480269546092282,"{0: 17, 1: 0, 2: 2, 3: 1, 4: 0}",0
80,False,"{'a': 0.5, 'e': 0.4851682348698485}",20,14,10.254055112942538,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
81,False,"{'a': 0.5, 'e': 0.48080172075601985}",25,6,-25.54054511977448,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 1}",1
82,False,"{'a': 0.5, 'e': 0.4764745052692157}",25,1,-47.770292933783956,"{0: 19, 1: 3, 2: 0, 3: 1, 4: 1}",1
83,False,"{'a': 0.5, 'e': 0.4721862347217927}",25,8,-76.9180904365206,"{0: 12, 1: 0, 2: 2, 3: 2, 4: 1}",1
84,False,"{'a': 0.5, 'e': 0.4679365586092966}",20,0,-8.581127560268513,"{0: 17, 1: 2, 2: 0, 3: 1, 4: 0}",0
85,False,"{'a': 0.5, 'e': 0.46372512958181294}",25,9,-24.61077979661335,"{0: 12, 1: 0, 2: 4, 3: 0, 4: 0}",1
86,False,"{'a': 0.5, 'e': 0.4595516034155766}",20,0,-33.37265560710028,"{0: 15, 1: 1, 2: 3, 3: 1, 4: 0}",0
87,False,"{'a': 0.5, 'e': 0.4554156389848364}",30,0,17.566833630297598,"{0: 27, 1: 2, 2: 1, 3: 0, 4: 0}",0
88,False,"{'a': 0.5, 'e': 0.45131689823397286}",20,0,-66.13759179099483,"{0: 15, 1: 1, 2: 2, 3: 1, 4: 1}",0
89,False,"{'a': 0.5, 'e': 0.4472550461498671}",20,0,-100.67775474063772,"{0: 14, 1: 0, 2: 4, 3: 0, 4: 2}",0
90,False,"{'a': 0.5, 'e': 0.4432297507345183}",20,0,-107.07427877139105,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 3}",0
91,False,"{'a': 0.5, 'e': 0.43924068297790764}",20,0,-0.8010277250749178,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
92,False,"{'a': 0.5, 'e': 0.4352875168311065}",25,14,-14.400248031472852,"{0: 9, 1: 0, 2: 1, 3: 1, 4: 0}",1
93,False,"{'a': 0.5, 'e': 0.4313699291796265}",20,4,25.940837031116054,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
94,False,"{'a': 0.5, 'e': 0.42748759981700984}",35,0,-2.3654217393849706,"{0: 30, 1: 1, 2: 4, 3: 0, 4: 0}",0
95,False,"{'a': 0.5, 'e': 0.42364021141865676}",20,0,-10.264877169496238,"{0: 17, 1: 1, 2: 1, 3: 1, 4: 0}",0
96,False,"{'a': 0.5, 'e': 0.41982744951588885}",25,5,5.59761062018335,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",1
97,False,"{'a': 0.5, 'e': 0.41604900247024584}",25,9,1.990342339516494,"{0: 13, 1: 1, 2: 2, 3: 0, 4: 0}",1
98,False,"{'a': 0.5, 'e': 0.41230456144801364}",25,17,-11.017502520274387,"{0: 6, 1: 0, 2: 2, 3: 0, 4: 0}",1
99,False,"{'a': 0.5, 'e': 0.4085938203949815}",20,0,-21.35936450798245,"{0: 18, 1: 1, 2: 0, 3: 0, 4: 1}",0
100,False,"{'a': 0.5, 'e': 0.40491647601142666}",30,6,-8.535310646180614,"{0: 20, 1: 2, 2: 1, 3: 1, 4: 0}",1
101,False,"{'a': 0.5, 'e': 0.40127222772732385}",20,0,-9.487927174318331,"{0: 16, 1: 2, 2: 2, 3: 0, 4: 0}",0
102,False,"{'a': 0.5, 'e': 0.3976607776777779}",20,0,-1.2423766265341947,"{0: 18, 1: 1, 2: 0, 3: 1, 4: 0}",0
103,False,"{'a': 0.5, 'e': 0.3940818306786779}",20,15,4.593074178494318,"{0: 4, 1: 1, 2: 0, 3: 0, 4: 0}",1
104,False,"{'a': 0.5, 'e': 0.3905350942025698}",25,7,17.438126019502956,"{0: 16, 1: 1, 2: 1, 3: 0, 4: 0}",1
105,False,"{'a': 0.5, 'e': 0.38702027835474667}",20,3,-21.276345258890807,"{0: 14, 1: 0, 2: 2, 3: 1, 4: 0}",1
106,False,"{'a': 0.5, 'e': 0.383537095849554}",25,16,10.606526408950891,"{0: 8, 1: 1, 2: 0, 3: 0, 4: 0}",1
107,False,"{'a': 0.5, 'e': 0.38008526198690795}",25,15,11.73970125430666,"{0: 9, 1: 1, 2: 0, 3: 0, 4: 0}",1
108,False,"{'a': 0.5, 'e': 0.3766644946290258}",35,0,-214.00904913203271,"{0: 24, 1: 1, 2: 4, 3: 2, 4: 4}",0
109,False,"{'a': 0.5, 'e': 0.37327451417736457}",30,11,21.83154138007254,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 0}",1
110,False,"{'a': 0.5, 'e': 0.3699150435497683}",20,0,22.79508740916676,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",0
111,False,"{'a': 0.5, 'e': 0.3665858081578204}",20,0,-5.961365759763821,"{0: 16, 1: 1, 2: 3, 3: 0, 4: 0}",0
112,False,"{'a': 0.5, 'e': 0.36328653588439996}",20,0,-85.04764207251407,"{0: 15, 1: 0, 2: 3, 3: 0, 4: 2}",1
113,False,"{'a': 0.5, 'e': 0.3600169570614404}",25,0,-20.614498568428385,"{0: 19, 1: 2, 2: 4, 3: 0, 4: 0}",0
114,False,"{'a': 0.5, 'e': 0.3567768044478874}",25,0,-40.615917207443545,"{0: 22, 1: 0, 2: 1, 3: 1, 4: 1}",0
115,False,"{'a': 0.5, 'e': 0.3535658132078564}",20,14,-1.4779795869219128,"{0: 5, 1: 0, 2: 1, 3: 0, 4: 0}",1
116,False,"{'a': 0.5, 'e': 0.3503837208889857}",20,4,-10.272935805655003,"{0: 12, 1: 2, 2: 2, 3: 0, 4: 0}",1
117,False,"{'a': 0.5, 'e': 0.34723026740098484}",30,8,-55.258153168726714,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 2}",1
118,False,"{'a': 0.5, 'e': 0.344105194994376}",25,10,7.032869194878393,"{0: 13, 1: 2, 2: 0, 3: 0, 4: 0}",1
119,False,"{'a': 0.5, 'e': 0.3410082482394266}",25,7,-64.41745576459603,"{0: 15, 1: 0, 2: 1, 3: 0, 4: 2}",1
120,False,"{'a': 0.5, 'e': 0.33793917400527174}",20,8,-18.560616326438506,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 1}",1
121,False,"{'a': 0.5, 'e': 0.3348977214392243}",25,10,18.64651523839837,"{0: 14, 1: 1, 2: 0, 3: 0, 4: 0}",1
122,False,"{'a': 0.5, 'e': 0.3318836419462713}",20,2,28.854736921922633,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
123,False,"{'a': 0.5, 'e': 0.3288966891687548}",30,13,17.400891839368008,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 0}",1
124,False,"{'a': 0.5, 'e': 0.32593661896623605}",25,4,-43.4315635416698,"{0: 18, 1: 0, 2: 1, 3: 1, 4: 1}",1
125,False,"{'a': 0.5, 'e': 0.3230031893955399}",25,3,-31.79233434749835,"{0: 16, 1: 2, 2: 3, 3: 1, 4: 0}",1
126,False,"{'a': 0.5, 'e': 0.32009616069098}",30,0,14.978974737738612,"{0: 27, 1: 3, 2: 0, 3: 0, 4: 0}",0
127,False,"{'a': 0.5, 'e': 0.3172152952447612}",30,3,2.3507837836579757,"{0: 24, 1: 0, 2: 3, 3: 0, 4: 0}",1
128,False,"{'a': 0.5, 'e': 0.31436035758755837}",30,18,7.877951500992532,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
129,False,"{'a': 0.5, 'e': 0.31153111436927033}",30,3,-13.334768900180535,"{0: 23, 1: 0, 2: 3, 3: 1, 4: 0}",1
130,False,"{'a': 0.5, 'e': 0.3087273343399469}",20,5,-64.8145571117778,"{0: 12, 1: 1, 2: 0, 3: 0, 4: 2}",1
131,False,"{'a': 0.5, 'e': 0.30594878833088734}",25,15,-1.0693830904841475,"{0: 8, 1: 1, 2: 1, 3: 0, 4: 0}",1
132,False,"{'a': 0.5, 'e': 0.3031952492359094}",20,0,-12.542907729144003,"{0: 16, 1: 1, 2: 3, 3: 0, 4: 0}",0
133,False,"{'a': 0.5, 'e': 0.3004664919927862}",25,3,-20.917483632437875,"{0: 18, 1: 0, 2: 3, 3: 1, 4: 0}",1
134,False,"{'a': 0.5, 'e': 0.2977622935648511}",25,11,23.191436991475722,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
135,False,"{'a': 0.5, 'e': 0.2950824329227675}",20,0,13.982994813690203,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
136,False,"{'a': 0.5, 'e': 0.29242669102646257}",20,0,17.00100124713012,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
137,False,"{'a': 0.5, 'e': 0.2897948508072244}",35,25,4.608152732716774,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
138,False,"{'a': 0.5, 'e': 0.28718669714995937}",30,0,-22.16149653231604,"{0: 24, 1: 1, 2: 5, 3: 0, 4: 0}",0
139,False,"{'a': 0.5, 'e': 0.2846020168756097}",25,7,30.750391174718516,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
140,False,"{'a': 0.5, 'e': 0.2820405987237292}",20,10,-1.9827518739998995,"{0: 8, 1: 0, 2: 2, 3: 0, 4: 0}",1
